n_cum,estimate,half_width_95
50000,8.9508646295,0.1210937201
100000,8.9796399448,0.0861117247
150000,8.9904836840,0.0703523535
200000,8.9800406025,0.0607839297
250000,8.9471518751,0.0542349266
300000,8.9531723681,0.0495595911
350000,8.9383008289,0.0458551578
400000,8.9430573898,0.0429260681
450000,8.9463160663,0.0404824832
500000,8.9378421264,0.0383767530
550000,8.9369073806,0.0365703118
600000,8.9345891022,0.0350056957
650000,8.9336822477,0.0336258636
700000,8.9305683535,0.0323925008
750000,8.9333610347,0.0312963754
800000,8.9345198210,0.0303059083
850000,8.9321495675,0.0294001768
900000,8.9326853225,0.0285613456
950000,8.9378675346,0.0278080611
1000000,8.9361833107,0.0271031271
