T,K,iv,call_price,put_price
0.25,3500,0.135825,1504.97,3.09086e-06
0.25,3554.59,0.135825,1450.66,1.09745e-05
0.25,3610.03,0.135825,1395.49,3.71081e-05
0.25,3666.33,0.135825,1339.47,0.000119516
0.25,3723.51,0.135825,1282.58,0.000366742
0.25,3781.58,0.135825,1224.79,0.00107249
0.25,3840.56,0.135825,1166.11,0.00298989
0.25,3900.46,0.135825,1106.52,0.00794856
0.25,3961.29,0.135825,1046,0.0201584
0.25,4023.08,0.135825,984.554,0.0487905
0.25,4085.82,0.135825,922.185,0.112753
0.25,4149.55,0.135825,858.915,0.248919
0.25,4214.26,0.135825,794.797,0.52526
0.25,4279.99,0.135825,729.932,1.06013
0.25,4346.74,0.135825,664.501,2.04798
0.25,4414.54,0.135825,598.787,3.78991
0.25,4483.39,0.135825,533.215,6.72456
0.25,4553.31,0.135825,468.366,11.4518
0.25,4624.33,0.135825,404.993,18.7394
0.25,4696.45,0.135825,343.993,29.5028
0.25,4769.7,0.135825,286.36,44.7516
0.25,4844.09,0.135825,233.095,65.5049
0.25,4919.64,0.156133,204.454,112.037
0.25,4996.36,0.217535,224.094,208.023
0.25,5074.29,0.22,190.737,252.203
0.25,5153.43,0.22,158.731,298.942
0.25,5233.8,0.22,130.501,350.686
0.25,5315.43,0.22,105.948,407.355
0.25,5398.33,0.22,84.9026,468.797
0.25,5482.53,0.22,67.1299,534.798
0.25,5568.04,0.22,52.3494,605.099
0.25,5654.88,0.22,40.2486,679.406
0.25,5743.07,0.22,30.4991,757.412
0.25,5832.64,0.22,22.7709,838.808
0.25,5923.61,0.22,16.7456,923.297
0.25,6016,0.22,12.1263,1010.6
0.25,6109.83,0.22,8.6447,1100.48
0.25,6205.12,0.22,6.06537,1192.72
0.25,6301.89,0.22,4.18749,1287.14
0.25,6400.18,0.22,2.84411,1383.59
0.25,6500,0.22,1.89998,1481.97
0.5,3500,0.24,1514.06,4.16786
0.5,3554.59,0.24,1461.24,5.39757
0.5,3610.03,0.24,1407.9,6.94242
0.5,3666.33,0.24,1354.08,8.86901
0.5,3723.51,0.24,1299.86,11.2543
0.5,3781.58,0.24,1245.29,14.1863
0.5,3840.56,0.24,1190.48,17.7645
0.5,3900.46,0.24,1135.51,22.1005
0.5,3961.29,0.24,1080.5,27.3181
0.5,4023.08,0.24,1025.57,33.5528
0.5,4085.82,0.24,970.847,40.9516
0.5,4149.55,0.24,916.478,49.6724
0.5,4214.26,0.24,862.614,59.8823
0.5,4279.99,0.24,809.415,71.7562
0.5,4346.74,0.24,757.046,85.475
0.5,4414.54,0.24,705.675,101.223
0.5,4483.39,0.24,655.473,119.187
0.5,4553.31,0.24,606.607,139.549
0.5,4624.33,0.24,559.24,162.49
0.5,4696.45,0.24,513.525,188.181
0.5,4769.7,0.24,469.608,216.783
0.5,4844.09,0.24,427.619,248.443
0.5,4919.64,0.24,387.67,283.292
0.5,4996.36,0.24,349.858,321.445
0.5,5074.29,0.230532,300.974,349.711
0.5,5153.43,0.220161,253.154,380.244
0.5,5233.8,0.209276,207.436,414.101
0.5,5315.43,0.2,167.243,454.724
0.5,5398.33,0.2,142.567,512.124
0.5,5482.53,0.2,120.584,573.498
0.5,5568.04,0.2,101.175,638.746
0.5,5654.88,0.2,84.1968,707.744
0.5,5743.07,0.2,69.4823,780.348
0.5,5832.64,0.2,56.8507,856.396
0.5,5923.61,0.2,46.1117,935.72
0.5,6016,0.2,37.0708,1018.15
0.5,6109.83,0.2,29.5349,1103.5
0.5,6205.12,0.2,23.3164,1191.63
0.5,6301.89,0.2,18.2369,1282.36
0.5,6400.18,0.2,14.1302,1375.57
0.5,6500,0.2,10.8444,1471.11
1,3500,0.169706,1523.36,3.80912
1,3554.59,0.169706,1470.99,4.94397
1,3610.03,0.169706,1418.08,6.37303
1,3666.33,0.169706,1364.68,8.15944
1,3723.51,0.169706,1310.85,10.3763
1,3781.58,0.169706,1256.65,13.1077
1,3840.56,0.169706,1202.18,16.4487
1,3900.46,0.169706,1147.53,20.5067
1,3961.29,0.169706,1092.79,25.4006
1,4023.08,0.169706,1038.1,31.2618
1,4085.82,0.169706,983.565,38.2328
1,4149.55,0.169706,929.338,46.4674
1,4214.26,0.169706,875.563,56.1289
1,4279.99,0.169706,822.398,67.3892
1,4346.74,0.169706,770.005,80.4266
1,4414.54,0.169706,718.551,95.4238
1,4483.39,0.169706,668.205,112.565
1,4553.31,0.169706,619.135,132.035
1,4624.33,0.169706,571.505,154.014
1,4696.45,0.169706,525.471,178.674
1,4769.7,0.169706,481.18,206.181
1,4844.09,0.169706,438.767,236.685
1,4919.64,0.169706,398.35,270.322
1,4996.36,0.169706,360.031,307.212
1,5074.29,0.163011,310.689,334.252
1,5153.43,0.155677,262.31,363.446
1,5233.8,0.14798,215.913,395.832
1,5315.43,0.141421,174.929,434.86
1,5398.33,0.141421,149.49,490.681
1,5482.53,0.141421,126.763,550.481
1,5568.04,0.141421,106.638,614.17
1,5654.88,0.141421,88.9803,681.634
1,5743.07,0.141421,73.6305,752.733
1,5832.64,0.141421,60.4127,827.313
1,5923.61,0.141421,49.1399,905.207
1,6016,0.141421,39.6194,986.244
1,6109.83,0.141421,31.658,1070.25
1,6205.12,0.141421,25.0669,1157.06
1,6301.89,0.141421,19.6653,1246.52
1,6400.18,0.141421,15.2836,1338.48
1,6500,0.141421,11.7659,1432.81
