underlying,S0,r,q,K,T,type,price_bid,price_ask,mid,iv_bid,iv_ask,iv_mid
SPX,5000,0.02,0.01,5000,0.25,C,95,105,100,,,
SPX,5000,0.02,0.01,4900,0.25,P,80,90,85,,,
SPX,5000,0.02,0.01,5100,0.25,C,13,17,15,,,
SPX,5000,0.02,0.01,5200,0.25,P,38,42,40,,,
# --- Bruit volontaire (±5–10%) sur le prix vs IV pour provoquer ΔP non nuls :
SPX,5000,0.02,0.01,5000,0.25,C,,,,,0.18,0.20
SPX,5000,0.02,0.01,4900,0.25,P,,,,,0.20,0.205
SPX,5000,0.02,0.01,5100,0.25,C,,,,,0.16,0.165
SPX,5000,0.02,0.01,5200,0.25,P,,,,,0.22,0.215
# --- Deux maturités (0.50) avec un “outlier” clair :
SPX,5000,0.02,0.01,5000,0.50,C,12,18,15,,,
SPX,5000,0.02,0.01,4800,0.50,P,200,220,210,,,
SPX,5000,0.02,0.01,5200,0.50,C,5,9,7,,,
SPX,5000,0.02,0.01,5000,0.50,C,,,,,0.19,0.195
# outlier volontaire : prix trop élevé vs reste de la courbe
SPX,5000,0.02,0.01,5100,0.50,C,20,24,22,,,
