underlying,S0,r,q
SYNTH,5000,0.02,0.01
K,T,type,price_bid,price_ask,mid,iv_bid,iv_ask,iv_mid
3500,0.25,C,1497.46,1512.51,1504.99,,,
3650,0.25,P,0.0868729,0.087746,0.0873095,,,
3800,0.25,C,1200.8,1212.87,1206.83,,,
3950,0.25,P,1.26292,1.27562,1.26927,,,
4100,0.25,C,907.136,916.253,911.694,,,
4250,0.25,P,9.41715,9.51179,9.46447,,,
4400,0.25,C,627.414,633.72,630.567,,,
4550,0.25,P,41.8106,42.2309,42.0207,,,
4700,0.25,C,384.79,388.657,386.723,,,
4850,0.25,P,124.709,125.963,125.336,,,
5000,0.25,C,203.906,205.955,204.931,,,
5150,0.25,P,275.96,278.734,277.347,,,
5300,0.25,C,92.0863,93.0118,92.549,,,
5450,0.25,P,491.354,496.292,493.823,,,
5600,0.25,C,35.3784,35.734,35.5562,,,
5750,0.25,P,750.814,758.36,754.587,,,
5900,0.25,C,11.64,11.757,11.6985,,,
6050,0.25,P,1033.47,1043.86,1038.66,,,
6200,0.25,C,3.31732,3.35066,3.33399,,,
6350,0.25,P,1325.84,1339.17,1332.51,,,
6500,0.25,C,0.829971,0.838312,0.834141,,,
3500,0.5,C,1503.32,1518.42,1510.87,,,
3650,0.5,P,2.44462,2.46919,2.4569,,,
3800,0.5,C,1212.31,1224.49,1218.4,,,
3950,0.5,P,11.2699,11.3831,11.3265,,,
4100,0.5,C,932.525,941.897,937.211,,,
4250,0.5,P,37.2176,37.5916,37.4046,,,
4400,0.5,C,676.841,683.644,680.243,,,
4550,0.5,P,94.6857,95.6373,95.1615,,,
4700,0.5,C,459.713,464.334,462.023,,,
4850,0.5,P,196.523,198.498,197.51,,,
5000,0.5,C,290.874,293.798,292.336,,,
5150,0.5,P,348.301,351.801,350.051,,,
5300,0.5,C,171.326,173.048,172.187,,,
5450,0.5,P,546.687,552.181,549.434,,,
5600,0.5,C,94.1475,95.0937,94.6206,,,
5750,0.5,P,782.219,790.081,786.15,,,
5900,0.5,C,48.4692,48.9563,48.7128,,,
6050,0.5,P,1043.66,1054.15,1048.9,,,
6200,0.5,C,23.4995,23.7357,23.6176,,,
6350,0.5,P,1321.22,1334.5,1327.86,,,
6500,0.5,C,10.7902,10.8986,10.8444,,,
